44 44
BKHAMC

DATA:
0 5 2 2 2 1 7 3 4 2 3 2 3 5 6 3 4 3 4 2 3 2 2 1 1 1 0 0 0 5 6 0 1 1 0 3 0 0 0 0 1 0 2 0
4 0 3 9 2 0 9 0 2 0 0 0 7 7 1 9 0 9 3 3 1 9 2 6 1 2 5 3 2 0 9 2 9 6 2 2 3 4 8 5 2 1 4 4
0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
0 9 0 0 0 0 6 0 0 0 0 0 0 2 0 6 0 5 0 0 0 1 0 0 0 0 0 1 0 0 9 0 2 1 0 0 0 0 0 1 0 0 0 2
0 3 1 1 0 1 0 0 0 0 0 3 0 4 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 1 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 9 1 9 0 0 0 1 1 1 3 1 1 3 1 9 1 9 2 1 1 4 0 7 0 1 2 1 0 1 8 1 9 7 0 2 0 9 7 9 1 0 2 9
0 7 2 4 0 9 8 0 2 0 0 0 3 0 0 0 0 8 8 0 3 0 4 0 0 0 2 1 0 0 4 0 0 0 5 0 0 0 2 0 0 0 3 0
0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 5 1 4 0 0 0 0 0 0 0 0 0 0 1
2 8 0 2 0 0 9 0 1 0 1 0 0 4 1 0 0 7 0 0 0 5 0 0 4 0 0 0 2 0 9 0 6 0 0 3 2 0 6 5 0 0 8 7
4 2 0 4 1 0 4 0 1 0 0 0 0 4 4 2 0 4 2 0 0 0 0 0 0 0 0 0 0 0 3 0 2 0 0 2 0 0 3 2 0 0 1 2
0 2 0 0 1 0 2 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 3 0 0 0 0 0 0 0 0 0 0 0
0 7 0 1 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0
7 9 3 9 3 1 7 1 4 1 7 1 3 0 9 4 2 9 1 2 1 3 3 1 3 1 2 1 1 0 7 0 8 0 0 0 1 0 3 5 1 0 1 1
1 1 0 0 0 0 2 0 1 0 0 0 0 3 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 5 0 3 0 0 0 0 0 0 4 0 0 2 0
