17 17
NEWC3

DATA:
0 13 14 9 6 4 16 11 8 15 3 7 2 1 12 10 5
8 0 13 1 6 10 2 15 14 16 12 5 7 4 11 9 3
11 13 0 5 6 9 14 15 8 10 7 2 12 4 3 16 1
11 1 13 0 6 5 4 14 2 16 8 9 7 15 10 12 3
2 9 12 5 0 7 16 6 10 15 4 11 1 14 8 13 3
1 9 14 7 8 0 13 4 2 16 11 10 3 5 12 15 6
16 2 9 4 12 10 0 8 6 13 5 1 11 7 15 14 3
10 13 16 2 5 1 15 0 14 7 6 8 4 11 9 12 3
10 9 12 3 11 2 6 15 0 16 1 7 13 5 8 14 4
4 16 11 15 13 1 2 8 9 0 12 10 3 14 6 7 5
7 10 3 8 9 13 6 14 2 16 0 4 5 15 11 12 1
15 3 7 4 10 16 1 14 2 8 9 0 13 5 11 12 6
1 10 16 12 2 3 13 4 8 7 6 11 0 9 15 14 5
6 9 10 8 7 3 11 15 1 16 12 5 13 0 2 14 4
15 2 4 3 6 14 16 13 7 1 9 8 12 11 0 5 10
15 7 10 8 12 16 11 13 2 6 5 4 14 3 9 0 1
6 11 8 1 3 15 4 16 2 13 9 7 5 12 10 14 0

PSI:
0.0 0.13 0.09 0.09 0.22 0.24 0.01 0.1 0.1 0.19 0.15 0.03 0.24 0.16 0.03 0.03 0.16 
0.06 0.0 0.06 0.24 0.12 0.12 0.22 0.06 0.12 0.01 0.1 0.21 0.1 0.12 0.22 0.15 0.09 
0.04 0.06 0.0 0.06 0.07 0.04 0.12 0.01 0.07 0.09 0.21 0.15 0.01 0.1 0.19 0.1 0.13 
0.12 0.24 0.18 0.0 0.18 0.15 0.19 0.22 0.21 0.03 0.13 0.19 0.07 0.13 0.21 0.13 0.24 
0.16 0.16 0.16 0.16 0.0 0.13 0.07 0.18 0.09 0.06 0.12 0.1 0.22 0.15 0.16 0.07 0.21 
0.19 0.1 0.12 0.18 0.15 0.0 0.1 0.24 0.22 0.24 0.06 0.01 0.21 0.21 0.04 0.01 0.03 
0.01 0.22 0.04 0.19 0.01 0.06 0.0 0.03 0.16 0.22 0.16 0.24 0.06 0.09 0.01 0.09 0.19 
0.09 0.03 0.03 0.04 0.16 0.19 0.13 0.0 0.03 0.13 0.04 0.04 0.19 0.03 0.06 0.06 0.01 
0.13 0.04 0.13 0.22 0.1 0.22 0.16 0.04 0.0 0.12 0.22 0.22 0.13 0.24 0.15 0.22 0.22 
0.03 0.01 0.1 0.01 0.03 0.01 0.06 0.15 0.01 0.0 0.01 0.13 0.15 0.01 0.24 0.16 0.06 
0.21 0.07 0.15 0.13 0.19 0.09 0.18 0.16 0.24 0.07 0.0 0.12 0.16 0.07 0.12 0.18 0.12 
0.15 0.18 0.22 0.12 0.09 0.1 0.24 0.13 0.15 0.1 0.19 0.0 0.09 0.18 0.13 0.19 0.15 
0.22 0.15 0.07 0.15 0.24 0.21 0.09 0.19 0.06 0.21 0.18 0.06 0.0 0.06 0.07 0.04 0.18 
0.24 0.19 0.19 0.03 0.04 0.18 0.15 0.09 0.18 0.04 0.03 0.18 0.12 0.0 0.09 0.21 0.07 
0.07 0.09 0.21 0.1 0.13 0.07 0.03 0.12 0.13 0.16 0.09 0.09 0.03 0.22 0.0 0.12 0.1 
0.1 0.12 0.01 0.07 0.06 0.03 0.04 0.07 0.04 0.15 0.07 0.07 0.04 0.04 0.18 0.0 0.04 
0.18 0.21 0.24 0.21 0.21 0.16 0.21 0.21 0.19 0.18 0.24 0.16 0.18 0.19 0.1 0.24 0.0 

ALPHA:
3.0 3.0 3.0 4.0 3.0 3.0 3.0 3.0 4.0 3.0 4.0 4.0 3.0 3.0 3.0 3.0 4.0 

BETA:
5.0 5.0 4.0 6.0 5.0 5.0 5.0 4.0 6.0 3.0 6.0 6.0 5.0 5.0 5.0 3.0 7.0 

K_MIN:
42

K_MAX:
7
