15 15
THURM

DATA:
0 1 1 0 1 1 0 1 1 0 1 0 1 0 0
1 0 1 1 1 1 0 1 0 0 0 0 0 0 0
1 1 0 0 1 1 0 1 0 0 0 0 0 0 0
0 1 0 0 0 0 1 0 0 1 0 0 0 0 0
1 1 1 0 0 1 1 1 1 0 0 1 0 0 0
1 1 1 0 1 0 0 1 0 0 0 0 0 0 0
0 0 0 1 1 0 0 0 0 1 0 0 0 0 0
1 1 1 0 1 1 0 0 1 0 0 1 0 0 0
1 0 0 0 1 0 0 1 0 0 0 1 0 0 0
0 0 0 1 0 0 1 0 0 0 0 1 0 0 0
1 0 0 0 0 0 0 0 0 0 0 1 0 0 0
0 0 0 0 1 0 0 1 1 1 1 0 1 1 1
1 0 0 0 0 0 0 0 0 0 0 1 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
0 0 0 0 0 0 0 0 0 0 0 1 0 0 0

PSI:
0.0 0.33 0.4 0.0 0.25 0.4 0.0 0.29 0.5 0.0 1.0 0.0 1.0 0.0 0.0 
0.25 0.0 0.4 0.67 0.25 0.4 0.0 0.29 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.25 0.33 0.0 0.0 0.25 0.4 0.0 0.29 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.33 0.0 0.0 0.0 0.0 0.67 0.0 0.0 0.67 0.0 0.0 0.0 0.0 0.0 
0.25 0.33 0.4 0.0 0.0 0.4 0.67 0.29 0.5 0.0 0.0 0.25 0.0 0.0 0.0 
0.25 0.33 0.4 0.0 0.25 0.0 0.0 0.29 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.67 0.25 0.0 0.0 0.0 0.0 0.67 0.0 0.0 0.0 0.0 0.0 
0.25 0.33 0.4 0.0 0.25 0.4 0.0 0.0 0.5 0.0 0.0 0.25 0.0 0.0 0.0 
0.25 0.0 0.0 0.0 0.25 0.0 0.0 0.29 0.0 0.0 0.0 0.25 0.0 0.0 0.0 
0.0 0.0 0.0 0.67 0.0 0.0 0.67 0.0 0.0 0.0 0.0 0.25 0.0 0.0 0.0 
0.25 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.25 0.0 0.0 0.29 0.5 0.67 1.0 0.0 1.0 1.0 1.0 
0.25 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.25 0.0 0.0 0.0 

ALPHA:
6.0 5.0 5.0 6.0 5.0 5.0 6.0 5.0 5.0 6.0 5.0 7.0 5.0 5.0 5.0 

BETA:
9.0 6.0 4.0 4.0 7.0 4.0 4.0 6.0 3.0 4.0 2.0 12.0 2.0 1.0 1.0 

K_MIN:
34

K_MAX:
11
