17 17
NEWC7

DATA:
0 13 15 5 8 4 12 6 7 16 9 10 1 3 11 14 2
3 0 14 1 5 6 8 12 9 15 7 2 11 10 16 13 4
5 13 0 10 9 3 4 7 11 14 8 2 6 12 15 16 1
10 3 16 0 5 6 4 11 2 12 9 7 8 14 15 13 1
4 9 15 7 0 5 6 8 2 16 10 13 1 11 12 14 3
1 13 12 6 8 0 10 2 3 16 14 11 4 7 9 15 5
13 4 8 3 9 10 0 11 2 16 7 1 12 5 14 15 6
9 12 15 2 8 1 13 0 14 11 10 7 6 3 5 16 4
12 6 15 5 3 1 7 10 0 16 9 8 11 4 13 14 2
4 11 14 12 13 3 6 7 9 0 10 2 15 8 5 16 1
11 4 5 6 7 13 8 12 3 16 0 2 10 9 14 15 1
11 2 8 4 15 16 1 14 3 13 7 0 9 5 12 10 6
1 13 14 9 5 3 7 2 10 16 11 8 0 6 12 15 4
2 9 10 11 8 4 3 12 1 16 5 6 13 0 15 14 7
13 8 15 4 5 7 11 12 1 16 9 2 14 10 0 3 6
15 6 8 3 12 13 10 9 4 14 11 1 16 5 7 0 2
4 10 13 2 3 9 5 11 1 16 6 7 8 15 12 14 0

PSI:
0.0 0.21 0.18 0.1 0.19 0.24 0.06 0.12 0.07 0.19 0.09 0.09 0.24 0.22 0.06 0.03 0.19 
0.06 0.0 0.06 0.21 0.12 0.06 0.19 0.07 0.16 0.09 0.19 0.22 0.06 0.12 0.13 0.16 0.1 
0.03 0.04 0.0 0.01 0.03 0.07 0.13 0.03 0.03 0.04 0.18 0.13 0.04 0.1 0.03 0.13 0.06 
0.18 0.24 0.1 0.0 0.15 0.16 0.21 0.22 0.18 0.07 0.16 0.19 0.12 0.09 0.19 0.21 0.22 
0.13 0.18 0.12 0.18 0.0 0.13 0.12 0.13 0.21 0.06 0.15 0.03 0.18 0.13 0.18 0.07 0.21 
0.19 0.16 0.21 0.16 0.18 0.0 0.1 0.24 0.24 0.21 0.06 0.01 0.21 0.19 0.15 0.06 0.12 
0.07 0.13 0.19 0.19 0.16 0.1 0.0 0.06 0.15 0.16 0.13 0.24 0.15 0.21 0.09 0.1 0.18 
0.16 0.07 0.15 0.09 0.13 0.22 0.09 0.0 0.1 0.15 0.07 0.04 0.22 0.07 0.07 0.12 0.09 
0.15 0.12 0.09 0.22 0.22 0.21 0.22 0.04 0.0 0.12 0.21 0.21 0.1 0.24 0.24 0.19 0.24 
0.01 0.03 0.04 0.07 0.01 0.01 0.01 0.09 0.01 0.0 0.01 0.06 0.01 0.01 0.01 0.04 0.01 
0.12 0.15 0.13 0.12 0.1 0.04 0.15 0.1 0.12 0.1 0.0 0.15 0.09 0.18 0.12 0.09 0.16 
0.1 0.22 0.22 0.15 0.06 0.09 0.24 0.15 0.13 0.22 0.22 0.0 0.13 0.16 0.22 0.24 0.15 
0.24 0.09 0.16 0.13 0.24 0.19 0.07 0.16 0.09 0.03 0.1 0.12 0.0 0.06 0.04 0.01 0.13 
0.21 0.1 0.07 0.04 0.09 0.15 0.18 0.21 0.19 0.13 0.12 0.18 0.16 0.0 0.1 0.18 0.03 
0.09 0.01 0.03 0.03 0.07 0.12 0.04 0.18 0.06 0.18 0.04 0.07 0.07 0.03 0.0 0.15 0.07 
0.04 0.06 0.01 0.06 0.04 0.03 0.03 0.01 0.04 0.01 0.03 0.1 0.03 0.04 0.21 0.0 0.04 
0.22 0.19 0.24 0.24 0.21 0.18 0.16 0.19 0.22 0.24 0.24 0.16 0.19 0.15 0.16 0.22 0.0 

ALPHA:
4.0 3.0 3.0 4.0 3.0 4.0 4.0 3.0 4.0 2.0 3.0 4.0 3.0 3.0 3.0 3.0 4.0 

BETA:
6.0 5.0 3.0 6.0 5.0 6.0 6.0 5.0 7.0 2.0 5.0 6.0 5.0 5.0 3.0 3.0 7.0 

K_MIN:
42

K_MAX:
7
