15 15
KAPFMU

DATA:
0 1 0 0 0 0 1 0 1 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0 0 1 1 1
0 0 0 1 1 0 0 0 0 0 1 0 0 0 1
0 0 1 0 0 0 0 0 0 1 0 1 1 0 0
0 0 1 0 0 0 0 0 0 0 1 0 1 1 0
0 0 0 0 0 0 0 0 0 0 1 0 0 0 1
1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 1 0 0 0 0
1 0 0 0 0 0 0 0 0 0 1 0 0 0 1
0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
0 0 1 0 1 1 0 1 1 0 0 0 0 1 0
0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
0 1 0 1 1 0 0 0 0 0 0 0 0 0 1
0 1 0 0 1 0 0 0 0 0 1 0 0 0 1
0 1 1 0 0 1 0 0 1 0 0 1 1 1 0

PSI:
0.0 0.0 0.0 0.4 0.5 0.67 0.0 0.0 0.0 0.5 0.67 0.0 0.0 0.0 0.0 
0.0 0.0 1.0 0.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.4 1.0 0.0 0.0 0.5 0.0 0.4 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.4 0.0 0.0 0.4 0.0 0.0 0.0 0.0 0.0 0.5 0.0 0.0 0.0 0.0 1.0 
0.4 0.0 0.0 0.0 0.0 0.0 0.4 0.0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.4 0.0 0.67 0.0 1.0 0.0 0.0 0.67 1.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.4 0.0 0.0 0.5 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.4 0.0 0.67 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.4 0.0 0.0 0.0 0.5 0.0 0.0 1.0 0.0 0.0 0.67 0.0 0.0 0.0 0.0 
0.4 0.0 0.0 0.0 0.0 0.0 0.4 0.0 0.0 0.5 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 

ALPHA:
6.0 6.0 6.0 6.0 6.0 6.0 6.0 6.0 6.0 6.0 6.0 6.0 6.0 6.0 6.0 

BETA:
6.0 4.0 3.0 8.0 6.0 5.0 8.0 3.0 3.0 6.0 4.0 2.0 1.0 1.0 2.0 

K_MIN:
31

K_MAX:
12
