10 10
KNOKI

DATA:
0 1 0 0 1 0 1 0 1 0
1 0 1 1 1 0 1 1 1 0
0 1 0 1 1 1 1 0 0 1
1 1 0 0 1 0 1 0 0 0
1 1 1 1 0 0 1 1 1 1
0 0 1 0 0 0 1 0 1 0
0 1 0 1 1 0 0 0 0 0
1 1 0 1 1 0 1 0 1 0
0 1 0 0 1 0 1 0 0 0
1 1 1 0 1 0 1 0 0 0

PSI:
0.0 0.0 0.4 0.0 1.0 0.0 0.0 0.33 0.5 1.0 
0.0 0.0 0.4 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.33 0.0 0.0 
0.0 0.67 0.4 0.0 0.0 0.0 1.0 0.33 0.5 0.0 
0.0 0.67 0.4 0.0 0.0 0.0 0.0 0.33 0.5 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.0 0.67 0.0 0.0 0.0 0.0 0.0 0.33 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.5 1.0 
0.0 0.0 0.4 0.0 0.0 0.0 0.0 0.33 0.0 0.0 
0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 

ALPHA:
6.0 3.0 3.0 6.0 5.0 4.0 4.0 3.0 3.0 3.0 

BETA:
7.0 2.0 2.0 7.0 5.0 1.0 3.0 4.0 2.0 1.0 

K_MIN:
17

K_MAX:
8
